Team,Season,2010,2011,2012,2013,2014,2015,2016,2017
GSW,2015,0,0,0,0,0,1,0,0
ATL,2015,0,0,0,0,0,1,0,0
CLE,2015,0,0,0,0,0,1,0,0
IND,2015,0,0,0,0,0,1,0,0
OKC,2015,0,0,0,0,0,1,0,0
BRK,2015,0,0,0,0,0,1,0,0
LAL,2015,0,0,0,0,0,1,0,0
TOT,2015,0,0,0,0,0,1,0,0
NYK,2016,0,0,0,0,0,0,1,0
SAS,2016,0,0,0,0,0,0,1,0
MEM,2016,0,0,0,0,0,0,1,0
NOP,2016,0,0,0,0,0,0,1,0
NYK,2016,0,0,0,0,0,0,1,0
HOU,2016,0,0,0,0,0,0,1,0
MEM,2016,0,0,0,0,0,0,1,0
CHO,2016,0,0,0,0,0,0,1,0
MIL,2016,0,0,0,0,0,0,1,0
HOU,2016,0,0,0,0,0,0,1,0
SAC,2016,0,0,0,0,0,0,1,0
GSW,2016,0,0,0,0,0,0,1,0
HOU,2016,0,0,0,0,0,0,1,0
SAC,2016,0,0,0,0,0,0,1,0
PHO,2016,0,0,0,0,0,0,1,0
SAC,2016,0,0,0,0,0,0,1,0
OKC,2016,0,0,0,0,0,0,1,0
MEM,2016,0,0,0,0,0,0,1,0
GSW,2016,0,0,0,0,0,0,1,0
MIA,2016,0,0,0,0,0,0,1,0
TOR,2016,0,0,0,0,0,0,1,0
MIA,2016,0,0,0,0,0,0,1,0
OKC,2016,0,0,0,0,0,0,1,0
BRK,2016,0,0,0,0,0,0,1,0
IND,2016,0,0,0,0,0,0,1,0
NOP,2016,0,0,0,0,0,0,1,0
DAL,2016,0,0,0,0,0,0,1,0
MEM,2016,0,0,0,0,0,0,1,0
SAC,2016,0,0,0,0,0,0,1,0
SAS,2016,0,0,0,0,0,0,1,0
NOP,2016,0,0,0,0,0,0,1,0
SAS,2016,0,0,0,0,0,0,1,0
DAL,2016,0,0,0,0,0,0,1,0
CHO,2016,0,0,0,0,0,0,1,0
IND,2016,0,0,0,0,0,0,1,0
NOP,2016,0,0,0,0,0,0,1,0
ATL,2016,0,0,0,0,0,0,1,0
HOU,2016,0,0,0,0,0,0,1,0
OKC,2016,0,0,0,0,0,0,1,0
GSW,2016,0,0,0,0,0,0,1,0
TOT,2016,0,0,0,0,0,0,1,0
BRK,2016,0,0,0,0,0,0,1,0
CLE,2016,0,0,0,0,0,0,1,0
TOT,2016,0,0,0,0,0,0,1,0
LAC,2016,0,0,0,0,0,0,1,0
ATL,2016,0,0,0,0,0,0,1,0
SAC,2016,0,0,0,0,0,0,1,0
BRK,2016,0,0,0,0,0,0,1,0
CLE,2016,0,0,0,0,0,0,1,0
TOR,2016,0,0,0,0,0,0,1,0
DAL,2016,0,0,0,0,0,0,1,0
DAL,2016,0,0,0,0,0,0,1,0
DET,2016,0,0,0,0,0,0,1,0
IND,2016,0,0,0,0,0,0,1,0
DEN,2016,0,0,0,0,0,0,1,0
DAL,2016,0,0,0,0,0,0,1,0
DAL,2016,0,0,0,0,0,0,1,0
SAS,2016,0,0,0,0,0,0,1,0
LAC,2016,0,0,0,0,0,0,1,0
MEM,2016,0,0,0,0,0,0,1,0
LAC,2016,0,0,0,0,0,0,1,0
ATL,2016,0,0,0,0,0,0,1,0
CLE,2016,0,0,0,0,0,0,1,0
ORL,2016,0,0,0,0,0,0,1,0
GSW,2016,0,0,0,0,0,0,1,0
ATL,2016,0,0,0,0,0,0,1,0
TOT,2016,0,0,0,0,0,0,1,0
SAS,2016,0,0,0,0,0,0,1,0
OKC,2016,0,0,0,0,0,0,1,0
DAL,2016,0,0,0,0,0,0,1,0
LAL,2016,0,0,0,0,0,0,1,0
BRK,2016,0,0,0,0,0,0,1,0
SAC,2017,0,0,0,0,0,0,0,1
SAS,2017,0,0,0,0,0,0,0,1
MEM,2017,0,0,0,0,0,0,0,1
HOU,2017,0,0,0,0,0,0,0,1
NYK,2017,0,0,0,0,0,0,0,1
HOU,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
CHO,2017,0,0,0,0,0,0,0,1
PHI,2017,0,0,0,0,0,0,0,1
MIL,2017,0,0,0,0,0,0,0,1
CHO,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
PHO,2017,0,0,0,0,0,0,0,1
SAC,2017,0,0,0,0,0,0,0,1
